0,1179,{}
0,3596,{}
0,6709,{}
0,7662,{}
0,4093,{}
1,8160,{}
1,321,{}
1,4170,{}
1,4043,{}
1,8268,{}
1,4461,{}
1,5789,{}
2,9954,{}
2,8930,{}
2,1571,{}
2,5226,{}
2,7969,{}
3,5987,{}
3,1765,{}
3,3913,{}
3,7370,{}
3,7703,{}
3,4281,{}
3,1882,{}
3,602,{}
3,8158,{}
3,1317,{}
4,4627,{}
4,5516,{}
5,6947,{}
5,8939,{}
5,9358,{}
5,948,{}
5,3896,{}
5,9563,{}
5,1631,{}
6,8656,{}
6,3073,{}
6,5718,{}
7,4816,{}
7,4913,{}
7,7185,{}
7,2729,{}
8,7984,{}
8,6580,{}
8,782,{}
8,4327,{}
9,2914,{}
10,9604,{}
10,989,{}
10,8830,{}
10,5823,{}
11,4480,{}
11,2281,{}
11,4970,{}
11,3660,{}
11,7182,{}
11,8335,{}
11,4756,{}
11,1782,{}
11,7800,{}
11,6076,{}
11,8063,{}
12,6976,{}
12,7577,{}
12,9042,{}
12,6741,{}
13,1185,{}
13,3811,{}
13,585,{}
13,4270,{}
13,6129,{}
13,2290,{}
13,3162,{}
14,9475,{}
14,8328,{}
14,9295,{}
14,7116,{}
14,5005,{}
14,335,{}
14,187,{}
15,3354,{}
15,6839,{}
15,7359,{}
15,3367,{}
16,5671,{}
16,8730,{}
16,8683,{}
16,3847,{}
17,1313,{}
17,3974,{}
17,9099,{}
17,9905,{}
17,2130,{}
17,7384,{}
17,2681,{}
17,475,{}
17,7773,{}
17,5726,{}
18,8454,{}
18,2632,{}
18,5385,{}
18,9357,{}
18,3472,{}
18,4755,{}
19,6505,{}
19,8299,{}
19,427,{}
20,4419,{}
20,6309,{}
20,358,{}
20,5163,{}
20,3917,{}
20,6704,{}
20,9617,{}
20,5298,{}
20,5750,{}
20,6198,{}
20,5052,{}
20,7997,{}
21,1537,{}
21,8011,{}
21,6664,{}
21,2442,{}
21,4439,{}
21,4011,{}
21,7249,{}
21,8887,{}
21,2295,{}
21,1848,{}
21,3353,{}
21,1243,{}
22,594,{}
22,651,{}
22,5756,{}
22,1759,{}
22,1507,{}
23,6888,{}
23,8808,{}
23,9552,{}
23,4460,{}
24,4582,{}
24,2607,{}
24,4504,{}
24,3256,{}
24,6365,{}
24,3006,{}
24,8095,{}
25,3076,{}
25,6631,{}
25,7594,{}
25,3983,{}
25,1040,{}
25,7988,{}
25,6901,{}
25,9494,{}
25,8379,{}
26,7281,{}
26,3025,{}
26,4882,{}
26,9716,{}
26,1941,{}
26,3319,{}
26,572,{}
27,5204,{}
27,2965,{}
27,8726,{}
27,9561,{}
27,5817,{}
27,5659,{}
28,4290,{}
28,8231,{}
28,488,{}
28,6311,{}
28,3021,{}
28,4776,{}
28,7633,{}
28,5752,{}
28,7964,{}
29,291,{}
29,4209,{}
29,3209,{}
29,3371,{}
29,9489,{}
29,6926,{}
29,5528,{}
29,4884,{}
29,9944,{}
29,5785,{}
29,8159,{}
30,4690,{}
30,1043,{}
30,8837,{}
30,343,{}
31,7629,{}
32,128,{}
32,1607,{}
32,6991,{}
32,6355,{}
32,4702,{}
32,6361,{}
32,9885,{}
32,3166,{}
33,8833,{}
33,7588,{}
33,8806,{}
33,7431,{}
33,6316,{}
33,499,{}
33,7937,{}
33,2270,{}
33,5338,{}
33,3964,{}
33,4030,{}
33,8021,{}
34,2874,{}
34,4219,{}
35,7840,{}
35,7967,{}
35,593,{}
35,405,{}
35,4376,{}
35,2714,{}
35,8795,{}
35,3551,{}
36,2112,{}
36,5765,{}
36,4873,{}
36,4234,{}
36,3725,{}
36,1710,{}
36,6991,{}
36,2741,{}
36,5749,{}
36,6239,{}
37,1444,{}
37,457,{}
37,8395,{}
37,5454,{}
37,6351,{}
37,6133,{}
38,3467,{}
38,6867,{}
38,414,{}
38,8187,{}
39,9379,{}
39,4941,{}
39,4597,{}
39,5686,{}
39,2199,{}
39,734,{}
39,6805,{}
40,4050,{}
